,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,49,1,road,0,,-596.0,-611.983290488432,-838.5,-451.5,-449.2005141388168,-361.0,-67.83143208218007,-223.72463901774967
1,1,49,1,road,1,,-496.0,-304.16020671834644,-116.0,-368.5,-281.1718346253224,-229.0,-67.83143208218007,-223.72463901774967
2,2,49,1,road,2,,80.0,105.38817480719833,201.5,167.0,180.3258354755781,196.5,-67.83143208218007,-223.72463901774967
3,3,49,1,road,3,,-316.5,-360.9116883116883,-380.0,149.0,127.29480519480558,180.5,-67.83143208218007,-223.72463901774967
4,4,49,1,road,4,,-710.5,-545.5521907216496,-389.5,46.5,-53.01353092783484,-132.0,-67.83143208218007,-223.72463901774967
5,5,49,1,road,5,,-344.0,-388.4999999999998,-251.5,3.0,-1.8740259740256988,38.0,-67.83143208218007,-223.72463901774967
6,6,49,1,road,6,,-271.0,-294.3329032258064,-202.0,9.0,-113.15032258064502,-117.5,-67.83143208218007,-223.72463901774967
7,7,49,1,road,7,,-326.0,-305.60296010296,-488.0,-241.5,-162.0321750321748,-277.0,-67.83143208218007,-223.72463901774967
8,8,49,1,road,8,,-491.5,-430.015483870968,-419.5,-533.5,-372.0903225806453,-220.0,-67.83143208218007,-223.72463901774967
9,9,49,1,road,9,,-662.0,-570.0772727272729,-559.5,-482.0,-400.0590909090902,-306.5,-67.83143208218007,-223.72463901774967
10,10,49,1,road,10,,-940.5,-749.4767741935483,-762.0,-362.0,-414.6567741935478,-494.5,-67.83143208218007,-223.72463901774967
11,11,49,1,road,11,,-319.0,-514.4561855670104,-656.5,-324.0,-362.4967783505151,-434.0,-67.83143208218007,-223.72463901774967
12,12,49,1,road,12,,-502.5,-416.2290862290861,-711.0,-597.5,-382.5662805662805,-507.5,-67.83143208218007,-223.72463901774967
13,13,49,1,road,13,,-586.0,-553.6151866151865,-392.0,-345.0,-330.4292149292153,-349.5,-67.83143208218007,-223.72463901774967
14,14,49,1,road,14,,-812.0,-679.9043927648579,-359.5,-508.5,-404.8643410852712,-255.0,-67.83143208218007,-223.72463901774967
